kS 100.72305983466737
kSp0 533.0832991499763
kP0 11.488790750522227
kpiRH 4.192975878568211
ketaHP 9.387546527629537e-05
kF0 0.95568410495007
kFs 0.011918756911311763
kFsG 0.9130881934701089
kFG 0.005574044634703962
ketaRHP 0.0010171959747415427
kFsGp 0.41362744064083073
kFp0 0.9640214650123762
kP0p 111.92740311361575
kFsp 0.010639499253150891
ketaF 0.000872805233530148
kFGp 0.08370739498632127
kpiHP 0.5142867614518796
ketaRF 0.0017187298764902966
kFpi0 0.021124338504870818
kpiRF 18.155455788360577
